x,rho,vx,vy,p,s11,s12,sd11,sd12
0,2700,100,500,0,0,0,0,0
0.177358491,2700,100,500,0,0,0,0,0
0.177987421,2751.293588,-20.47413793,500,1422818792,-2098976109,0,-676157317,0
0.338993711,2751.293588,-20.47413793,500,1422818792,-2098976109,0,-676157317,0
0.339622642,2733.408324,0,0,918120805.4,-1925483504,-4264772727,-1007362699,-4264772727
0.659119497,2733.408324,0,0,918120805.4,-1925483504,-4264772727,-1007362699,-4264772727
0.660377358,2751.293588,20.47413793,-500,1422818792,-2098976109,0,-676157317,0
0.820125786,2751.293588,20.47413793,-500,1422818792,-2098976109,0,-676157317,0
0.822012579,2700,-100,-500,0,0,0,0,0
1,2700,-100,-500,0,0,0,0,0