x,rho,vx,vy,p,sd11,sd12
0,2700,0,500,0,0,0
0.18231187,2700,0,500,0,0,0
0.183087665,2709.15437,-21.29840547,500,247500000,-365402038.5,0
0.343677269,2709.15437,-21.29840547,500,247500000,-365402038.5,0
0.344453064,2690.709421,0,0,-252272727.3,-186013590,-4204751131
0.656322731,2690.709421,0,0,-252272727.3,-186013590,-4204751131
0.657098526,2709.15437,21.29840547,-500,247500000,-365402038.5,0
0.816912335,2709.15437,21.29840547,-500,247500000,-365402038.5,0
0.81768813,2700,0,-500,0,0,0
1,2700,0,-500,0,0,0